epoch,acc,loss,val_acc,val_loss
0,0.655625,0.634180692,0.6484375,0.607066482
1,0.6640625,0.611053945,0.739375,0.524144625
2,0.69,0.594912519,0.7575,0.472040511
3,0.6909375,0.585100971,0.7759375,0.451446678
4,0.699375,0.579670588,0.7678125,0.500395467
5,0.7075,0.580124907,0.7440625,0.500235119
6,0.7134375,0.568356919,0.7634375,0.48602483
7,0.7275,0.549477988,0.77875,0.493123707
8,0.73,0.549864969,0.7753125,0.599129001
9,0.7365625,0.543763537,0.731875,0.671548822
10,0.7375,0.541111442,0.7621875,0.479165531
11,0.736875,0.540057708,0.7625,0.481560898
12,0.7459375,0.523315077,0.7365625,0.554562929
13,0.7546875,0.525354595,0.776875,0.476407322
14,0.7415625,0.530760982,0.7659375,0.556726676
15,0.7484375,0.525767316,0.7884375,0.455035413
16,0.76,0.512944901,0.760625,0.508226126
17,0.74375,0.515068312,0.7425,0.577961617
18,0.753125,0.514100794,0.766875,0.517717692
19,0.766875,0.504899432,0.7971875,0.436364856
